Date,Open,High,Low,Close,Adj Close,Volume
3/13/2018,698.15,713.73,682.35,690.83,690.83,1425959936
3/14/2018,691.22,702.78,594.10,614.29,614.29,1810560000
3/15/2018,614.84,620.62,579.51,611.30,611.30,1770460032
3/16/2018,611.78,623.17,587.86,601.67,601.67,1417350016
3/17/2018,601.68,609.15,549.10,552.78,552.78,1267810048
3/18/2018,551.64,551.64,460.09,538.64,538.64,2685499904
3/19/2018,546.63,558.10,519.12,556.73,556.73,2046790016
3/20/2018,556.72,567.09,521.20,557.17,557.17,1833680000
3/21/2018,559.10,589.61,550.57,561.73,561.73,1781270016
3/22/2018,562.10,577.57,523.09,539.70,539.70,1523459968
3/23/2018,539.86,540.49,512.13,539.62,539.62,1596349952
3/24/2018,542.57,545.38,526.08,526.44,526.44,1300009984
3/25/2018,522.70,535.82,515.66,524.29,524.29,1151170048
3/26/2018,524.29,526.38,470.44,489.95,489.95,1638880000
3/27/2018,489.59,491.46,449.97,450.12,450.12,1617939968
3/28/2018,450.29,466.21,444.86,446.28,446.28,1514179968
3/29/2018,448.08,450.81,385.81,385.97,385.97,1970230016
3/30/2018,385.90,409.93,368.63,394.64,394.64,1878130048
3/31/2018,395.00,418.47,392.95,396.46,396.46,1323920000
4/1/2018,397.25,400.53,363.80,379.61,379.61,1256930048
4/2/2018,379.70,395.17,377.59,386.42,386.42,1102259968
4/3/2018,387.31,418.97,383.53,416.89,416.89,1363399936
4/4/2018,416.48,417.47,375.31,380.54,380.54,1287730048
4/5/2018,379.95,387.72,369.82,383.23,383.23,1210680064
4/6/2018,382.73,385.20,366.91,370.29,370.29,967105984
4/7/2018,370.38,393.06,369.94,385.31,385.31,951475008
4/8/2018,385.74,402.59,385.60,400.51,400.51,948488000
4/9/2018,400.86,429.25,390.61,398.53,398.53,1478390016
4/10/2018,399.41,415.89,393.88,414.24,414.24,1196000000
4/11/2018,415.02,430.54,412.47,430.54,430.54,1439040000
4/12/2018,430.16,493.06,417.41,492.94,492.94,2519360000
4/13/2018,493.16,526.47,482.66,492.73,492.73,2419249920
4/14/2018,492.58,512.02,488.28,501.48,501.48,1519079936
4/15/2018,502.88,531.70,502.88,531.70,531.70,1726089984
4/16/2018,532.07,534.20,500.25,511.15,511.15,1758979968
4/17/2018,511.14,518.03,502.56,502.89,502.89,1760359936
4/18/2018,503.31,525.09,503.05,524.79,524.79,1762940032
4/19/2018,524.04,567.89,523.26,567.89,567.89,2256869888
4/20/2018,567.99,618.72,560.28,615.72,615.72,2849469952
4/21/2018,616.00,621.89,578.55,605.40,605.40,2612460032
4/22/2018,606.12,640.77,593.87,621.86,621.86,2426269952
4/23/2018,621.20,646.70,621.03,642.55,642.55,2386830080
4/24/2018,643.40,708.88,643.40,708.16,708.16,3581860096
4/25/2018,707.06,707.06,600.21,615.42,615.42,4216140032
4/26/2018,618.08,663.18,604.01,662.81,662.81,2984009984
4/27/2018,662.11,684.87,647.03,647.03,647.03,2598129920
4/28/2018,644.65,691.44,644.65,683.68,683.68,2496659968
4/29/2018,683.91,697.76,670.51,688.88,688.88,2740559872
4/30/2018,689.76,694.44,666.12,669.92,669.92,2853100032
5/1/2018,670.46,674.40,637.54,673.61,673.61,2678960128
5/2/2018,674.08,688.84,667.42,687.15,687.15,2822269952
5/3/2018,686.59,784.34,686.59,779.54,779.54,4210939904
5/4/2018,776.78,803.75,762.63,785.62,785.62,3533410048
5/5/2018,784.58,827.46,784.24,816.12,816.12,3035040000
5/6/2018,816.09,835.06,764.88,792.31,792.31,3105570048
5/7/2018,793.34,795.76,710.18,753.72,753.72,4316120064
5/8/2018,755.01,774.25,728.13,752.86,752.86,2920489984
5/9/2018,752.90,759.53,718.47,752.28,752.28,2877870080
5/10/2018,752.58,766.75,726.66,727.28,727.28,2748950016
5/11/2018,727.01,736.98,669.83,679.59,679.59,3290080000
5/12/2018,679.88,691.41,644.07,686.05,686.05,2668480000
5/13/2018,687.17,741.31,675.32,733.50,733.50,2362500096
5/14/2018,732.73,742.17,695.79,730.55,730.55,3005110016
5/15/2018,731.14,739.05,700.99,708.87,708.87,2523069952
5/16/2018,708.09,710.20,682.54,707.05,707.05,2476130048
5/17/2018,708.72,718.83,668.83,672.66,672.66,2350619904
5/18/2018,672.10,695.03,663.81,694.37,694.37,2305740032
5/19/2018,695.07,715.58,686.79,696.53,696.53,2021549952
5/20/2018,697.92,723.75,692.67,715.37,715.37,2156910080
5/21/2018,717.19,719.28,692.49,699.22,699.22,2005170048
5/22/2018,700.18,700.98,644.03,647.74,647.74,2230469888
5/23/2018,646.67,651.64,572.95,583.59,583.59,2995429888
5/24/2018,584.54,610.82,557.21,601.76,601.76,2791099904
5/25/2018,602.14,617.19,575.62,586.73,586.73,2110919936
5/26/2018,587.43,606.17,583.51,587.28,587.28,1694300032
5/27/2018,588.52,590.33,562.87,572.67,572.67,1788790016
5/28/2018,573.04,576.05,512.55,516.04,516.04,2356900096
5/29/2018,516.15,572.26,516.15,565.39,565.39,2330820096
5/30/2018,566.83,583.14,545.43,559.59,559.59,2053970048
5/31/2018,558.50,585.54,557.07,577.65,577.65,1985040000
6/1/2018,578.67,589.09,567.66,580.04,580.04,1945890048
6/2/2018,580.43,597.08,577.32,591.81,591.81,1880390016
6/3/2018,591.26,624.51,591.26,618.33,618.33,1832550016
6/4/2018,619.44,623.43,583.75,592.98,592.98,1903430016
6/5/2018,593.41,611.33,580.98,609.30,609.30,1844269952
6/6/2018,610.26,611.64,596.40,607.12,607.12,1756530048
6/7/2018,607.69,616.14,601.69,605.19,605.19,1880140032
6/8/2018,605.44,608.81,595.59,601.08,601.08,1637779968
6/9/2018,600.91,608.58,597.56,597.56,597.56,1519309952
6/10/2018,594.34,594.34,511.89,526.48,526.48,2234880000
6/11/2018,524.86,536.86,515.27,533.28,533.28,1982119936
6/12/2018,532.71,538.96,491.23,496.84,496.84,1932760064
6/13/2018,498.02,501.90,459.00,477.49,477.49,2080130048
